time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-29 00:00:00+00:00,13.0,6.0,49,2
2022-12-30 00:00:00+00:00,5.0,3.0,43,1
2022-12-31 00:00:00+00:00,12.0,6.0,75,2
2023-01-01 00:00:00+00:00,11.0,6.0,86,8
2023-01-02 00:00:00+00:00,59.0,13.0,125,6
2023-01-03 00:00:00+00:00,22.0,10.0,99,3
2023-01-04 00:00:00+00:00,16.0,9.0,75,1
2023-01-05 00:00:00+00:00,20.0,7.0,75,2
2023-01-06 00:00:00+00:00,11.0,5.0,63,3
2023-01-07 00:00:00+00:00,22.0,9.0,104,1
2023-01-08 00:00:00+00:00,5.0,3.0,22,1
2023-01-09 00:00:00+00:00,19.0,10.0,54,1
2023-01-10 00:00:00+00:00,14.0,7.0,72,1
2023-01-11 00:00:00+00:00,,,2,1
